2016-06-09 12:48:15.6674|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 270 at GitClient.cs:623
2016-06-09 12:48:15.6674|INFO|thread:49|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 270 at GitClient.cs:623 after waiting 6.2E-05s
2016-06-09 12:48:15.6830|INFO|thread:62|AsyncReaderWriterLock|Released concurrent scheduler for operation: 270 at GitClient.cs:623 after blocking 0.0082616s
2016-06-09 12:48:16.8998|INFO|thread:74|ConcurrentRepositoryConnection|Pruning merged local branches
2016-06-09 12:48:16.9154|INFO|thread:74|GitEnvironment|Process set up with this SSH Agent info: 5820:/tmp/ssh-8lgaIFTZESYq/agent.5824
2016-06-09 12:48:16.9154|INFO|thread:74|GitEnvironment|PATH is C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\Ирина\AppData\Local\Apps\2.0\WTM5411E.PVE\YL85OGTR.XH7\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\Ирина\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\12.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\3.1\Framework\v4.0\
2016-06-09 12:48:16.9154|INFO|thread:74|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd\git.exe', Args: 'branch --merged master ', Working Directory: C:\Ruby\rails\tsk\executor_of_tasks\tsk-executor_of_tasks\
2016-06-09 12:48:16.9154|INFO|thread:74|GitEnvironment|Process set up with this SSH Agent info: 5820:/tmp/ssh-8lgaIFTZESYq/agent.5824
2016-06-09 12:48:16.9154|INFO|thread:74|GitEnvironment|PATH is C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\Ирина\AppData\Local\Apps\2.0\WTM5411E.PVE\YL85OGTR.XH7\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\Ирина\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\12.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\3.1\Framework\v4.0\
2016-06-09 12:48:16.9154|INFO|thread:74|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd\git.exe', Args: 'log -g --abbrev-commit --pretty=oneline HEAD -n 2500 ', Working Directory: C:\Ruby\rails\tsk\executor_of_tasks\tsk-executor_of_tasks\
2016-06-09 12:48:17.0870|INFO|thread:74|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 271 at GitClient.cs:201
2016-06-09 12:48:17.0870|INFO|thread:53|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 271 at GitClient.cs:201 after waiting 5.96E-05s
2016-06-09 12:48:17.0870|INFO|thread:74|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 272 at RepositoryModel.cs:596
2016-06-09 12:48:17.0870|INFO|thread:74|AsyncReaderWriterLock|Released concurrent scheduler for operation: 269 at BranchSynchronizer.cs:141 after blocking 2.19835s
2016-06-09 12:48:17.0870|INFO|thread:64|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 272 at RepositoryModel.cs:596 after waiting 0.000104s
2016-06-09 12:48:17.0870|INFO|thread:64|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 273 at GitClient.cs:290
